,Book Title,230522,35859,11676,113519,16795,60244
61,Girl with a Pearl Earring,-1,0,0,10,0,0
62,Bel Canto: A Novel,-1,9,0,-1,0,-1
63,Cold Mountain : A Novel,-1,7,0,-1,-1,6
64,Wild Animus,-1,0,6,0,0,0
65,The Poisonwood Bible: A Novel,0,0,0,0,4,0
66,Lucky : A Memoir,-1,0,10,0,0,0
67,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),0,0,0,-1,-1,9
68,The Book of Ruth (Oprah's Book Club (Paperback)),0,-1,7,-1,0,0
69,1st to Die: A Novel,0,7,10,-1,9,-1
70,Hannibal,0,0,8,-1,5,-1
71,The Alienist,0,0,7,-1,0,-1
72,Fahrenheit 451,0,10,0,-1,8,9
73,The Runaway Jury,0,0,9,-1,0,-1
74,A Prayer for Owen Meany,-1,-1,10,0,0,-1
75,The Joy Luck Club,0,8,0,9,0,8
76,Summer Sisters,0,-1,7,0,9,0
77,Red Dragon,0,-1,0,-1,-1,-1
78,The Summons,0,0,8,0,8,-1
79,The Secret Life of Bees,0,8,10,0,10,0
80,The Partner,0,0,0,-1,0,-1
81,The Client,0,0,5,-1,5,-1
82,Timeline,0,0,10,0,5,-1
83,The Reader,-1,6,8,8,5,0
84,Into Thin Air : A Personal Account of the Mt. Everest Disaster,0,-1,8,0,5,0
85,Angela's Ashes (MMP) : A Memoir,0,-1,9,0,-1,0
86,Where the Heart Is (Oprah's Book Club (Paperback)),0,0,10,9,8,0
87,The Pilot's Wife : A Novel,0,0,0,0,0,0
88,The Nanny Diaries: A Novel,0,8,9,0,9,8
89,House of Sand and Fog,-1,0,7,0,9,7
90,Message in a Bottle,8,0,0,0,0,0
91,Fall On Your Knees (Oprah #45),-1,-1,6,0,9,8
92,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),0,10,10,0,-1,0
93,A Time to Kill,0,0,0,-1,0,-1
94,The Pelican Brief,0,0,0,-1,6,-1
95,Balzac and the Little Chinese Seamstress : A Novel,-1,8,9,0,-1,-1
96,Angels &amp; Demons,0,0,8,0,0,0
97,The Brethren,0,0,8,0,-1,-1
