"","day","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","distance","zip","elev","dew","precip","hum","snow","temp","windspeed","visibility","windchill","heatindex","fog","rain","hail","thunder","tornado"
"4403","Friday",138,2014-04-18 15:39:18,2014-04-18 15:41:36,472,"E 32 St & Park Ave",40.7457121,-73.98194829,528,"2 Ave & E 31 St",40.74290902,-73.97706058,15057,"Subscriber","1960",1,"0.366","10016","-4","28","-9999","48","0","46.9","0","10","-999","-9999","0","0","0","0","0"
"4404","Tuesday",320,2014-04-22 16:26:30,2014-04-22 16:31:50,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,16727,"Subscriber","1960",1,"1.144","10017","0","45","-9999","42","0","69.1","5.8","10","-999","-9999","0","0","0","0","0"
"4405","Monday",169,2014-04-21 13:26:24,2014-04-21 13:29:13,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,509,"9 Ave & W 22 St",40.7454973,-74.00197139,18065,"Subscriber","1973",1,"0.661","10011","-12","24.1","-9999","23","0","62.1","0","10","-999","-9999","0","0","0","0","0"
"4406","Tuesday",120,2014-04-01 12:12:51,2014-04-01 12:14:51,294,"Washington Square E",40.73049393,-73.9957214,382,"University Pl & E 14 St",40.73492695,-73.99200509,19567,"Subscriber","1974",1,"0.361","10003","-5","27","-9999","41","0","50","4.6","10","-999","-9999","0","0","0","0","0"
"4407","Friday",181,2014-04-25 15:52:37,2014-04-25 15:55:38,493,"W 45 St & 6 Ave",40.7568001,-73.98291153,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,20766,"Subscriber","1977",1,"0.599","10019","32791","21","-9999","22","0","60.1","-9999","10","-999","-9999","0","0","0","0","0"
"4408","Monday",395,2014-04-14 16:16:37,2014-04-14 16:23:12,359,"E 47 St & Park Ave",40.75510267,-73.97498696,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,16509,"Subscriber","1970",1,"1.497","10035","0","51.1","-9999","46","0","73","12.7","10","-999","-9999","0","0","0","0","0"
"4409","Monday",221,2014-04-21 14:51:23,2014-04-21 14:55:04,432,"E 7 St & Avenue A",40.72621788,-73.98379855,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,14958,"Subscriber","1968",1,"0.551","10009","38","21.9","-9999","19","0","64.9","5.8","10","-999","-9999","0","0","0","0","0"
"4410","Friday",284,2014-04-11 15:56:48,2014-04-11 16:01:32,491,"E 24 St & Park Ave S",40.74096374,-73.98602213,379,"W 31 St & 7 Ave",40.749156,-73.9916,15229,"Subscriber","1987",1,"0.89","10010","-16","42.1","-9999","32","0","73.9","6.9","10","-999","-9999","0","0","0","0","0"
"4412","Friday",224,2014-04-25 14:16:19,2014-04-25 14:20:03,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,462,"W 22 St & 10 Ave",40.74691959,-74.00451887,20252,"Subscriber","1961",1,"0.717","10011","-14","19.9","-9999","21","0","60.1","6.9","10","-999","-9999","0","0","0","0","0"
"4416","Thursday",326,2014-04-17 14:52:40,2014-04-17 14:58:06,491,"E 24 St & Park Ave S",40.74096374,-73.98602213,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,19331,"Subscriber","1965",1,"0.949","10010","-32815","25","-9999","44","0","46","8.1","10","41.9","-9999","0","0","0","0","0"
"4417","Wednesday",263,2014-04-02 16:39:53,2014-04-02 16:44:16,528,"2 Ave & E 31 St",40.74290902,-73.97706058,379,"W 31 St & 7 Ave",40.749156,-73.9916,18844,"Subscriber","1983",1,"0.882","10016","18","39.9","-9999","68","0","50","3.5","10","-999","-9999","0","0","0","0","0"
"4418","Tuesday",156,2014-04-22 15:51:49,2014-04-22 15:54:25,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,497,"E 17 St & Broadway",40.73704984,-73.99009296,17649,"Subscriber","1982",1,"0.763","10003","-24","45","-9999","39","0","71.1","6.9","10","-999","-9999","0","0","0","0","0"
"4419","Thursday",199,2014-04-03 13:51:18,2014-04-03 13:54:37,546,"E 30 St & Park Ave S",40.74444921,-73.98303529,379,"W 31 St & 7 Ave",40.749156,-73.9916,18992,"Subscriber","1964",1,"0.869","10016","-11","21","-9999","24","0","57.9","3.5","10","-999","-9999","0","0","0","0","0"
"4423","Tuesday",168,2014-04-15 10:25:55,2014-04-15 10:28:43,472,"E 32 St & Park Ave",40.7457121,-73.98194829,527,"E 33 St & 1 Ave",40.74315566,-73.97434726,16520,"Subscriber","1989",1,"0.694","10016","16","57","0.01","90","0","60.1","8.1","3","-999","-9999","0","1","0","0","0"
"4425","Thursday",303,2014-04-10 16:15:10,2014-04-10 16:20:13,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,17352,"Subscriber","1972",1,"0.729","10017","32791","24.1","-9999","28","0","57","8.1","10","-999","-9999","0","0","0","0","0"
"4426","Wednesday",296,2014-04-16 11:44:43,2014-04-16 11:49:39,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,19030,"Subscriber","1975",1,"0.757","10036","-32791","17.1","-9999","43","0","37.9","9.2","10","31.5","-9999","0","0","0","0","0"
"4427","Thursday",195,2014-04-24 10:31:07,2014-04-24 10:34:22,294,"Washington Square E",40.73049393,-73.9957214,483,"E 12 St & 3 Ave",40.73223272,-73.98889957,14567,"Subscriber","1979",1,"0.516","10003","2","12.9","-9999","24","0","48","15","10","-999","-9999","0","0","0","0","0"
"4428","Wednesday",159,2014-04-02 16:40:14,2014-04-02 16:42:53,444,"Broadway & W 24 St",40.7423543,-73.98915076,497,"E 17 St & Broadway",40.73704984,-73.99009296,16500,"Subscriber","1953",1,"0.376","10010","-9","39.9","-9999","68","0","50","3.5","10","-999","-9999","0","0","0","0","0"
"4429","Tuesday",119,2014-04-15 16:31:17,2014-04-15 16:33:16,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,453,"W 22 St & 8 Ave",40.74475148,-73.99915362,18083,"Subscriber","1974",1,"0.793","10011","-6","57","-9999","84","0","62.1","-9999","10","-999","-9999","0","0","0","0","0"
"4430","Monday",300,2014-04-21 15:51:14,2014-04-21 15:56:14,510,"W 51 St & 6 Ave",40.7606597,-73.98042047,529,"W 42 St & 8 Ave",40.7575699,-73.99098507,16549,"Subscriber","1954",1,"1.029","10019","32795","21","-9999","19","0","64.9","6.9","10","-999","-9999","0","0","0","0","0"
"4431","Friday",163,2014-04-18 11:49:12,2014-04-18 11:51:55,527,"E 33 St & 1 Ave",40.74315566,-73.97434726,472,"E 32 St & Park Ave",40.7457121,-73.98194829,15590,"Subscriber","1990",1,"0.63","10016","-16","27","-9999","55","0","42.1","-9999","10","-999","-9999","0","0","0","0","0"
"4432","Monday",303,2014-04-07 16:10:30,2014-04-07 16:15:33,173,"Broadway & W 49 St",40.76064679,-73.98442659,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,18674,"Subscriber","1973",1,"0.855","10019","0","35.1","-9999","57","0","50","-9999","10","-999","-9999","0","0","0","0","0"
"4433","Thursday",303,2014-04-24 16:49:36,2014-04-24 16:54:39,173,"Broadway & W 49 St",40.76064679,-73.98442659,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,18956,"Subscriber","1965",1,"0.855","10019","0","9","-9999","13","0","60.1","11.5","10","-999","-9999","0","0","0","0","0"
"4434","Friday",285,2014-04-25 14:55:29,2014-04-25 15:00:14,137,"E 56 St & Madison Ave",40.761628,-73.972924,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,19942,"Subscriber","1971",1,"0.828","10037","0","19.9","-9999","21","0","60.1","6.9","10","-999","-9999","0","0","0","0","0"
"4435","Thursday",168,2014-04-10 16:09:30,2014-04-10 16:12:18,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,14789,"Subscriber","1971",1,"0.679","10013","-1","24.1","-9999","28","0","57","8.1","10","-999","-9999","0","0","0","0","0"
"4436","Tuesday",393,2014-04-01 15:37:16,2014-04-01 15:43:49,352,"W 56 St & 6 Ave",40.76340613,-73.97722479,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,15884,"Subscriber","1965",1,"1.877","10019","32791","28","-9999","34","0","55.9","4.6","10","-999","-9999","0","0","0","0","0"
"4438","Monday",264,2014-04-07 16:07:39,2014-04-07 16:12:03,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,521,"8 Ave & W 31 St",40.75044999,-73.99481051,20331,"Subscriber","1974",1,"1.096","10011","4","35.1","-9999","57","0","50","-9999","10","-999","-9999","0","0","0","0","0"
"4439","Thursday",245,2014-04-03 14:29:01,2014-04-03 14:33:06,445,"E 10 St & Avenue A",40.72740794,-73.98142006,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,18827,"Subscriber","1977",1,"0.76","10009","44","21","-9999","21","0","62.1","5.8","10","-999","-9999","0","0","0","0","0"
"4440","Wednesday",456,2014-04-09 16:42:20,2014-04-09 16:49:56,522,"E 51 St & Lexington Ave",40.75714758,-73.97207836,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,21598,"Subscriber","1967",1,"1.781","10035","0","23","-9999","25","0","59","15","10","-999","-9999","0","0","0","0","0"
"4441","Tuesday",148,2014-04-29 12:07:13,2014-04-29 12:09:41,432,"E 7 St & Avenue A",40.72621788,-73.98379855,300,"Shevchenko Pl & E 6 St",40.728145,-73.990214,21247,"Subscriber","1992",1,"0.403","10009","6","36","-9999","63","0","48","13.8","10","-999","-9999","0","0","0","0","0"
"4442","Wednesday",367,2014-04-02 16:59:43,2014-04-02 17:05:50,459,"W 20 St & 11 Ave",40.746745,-74.007756,521,"8 Ave & W 31 St",40.75044999,-73.99481051,20933,"Subscriber","1955",1,"1.348","10011","5","39.9","-9999","68","0","50","3.5","10","-999","-9999","0","0","0","0","0"
"4444","Friday",576,2014-04-04 16:48:44,2014-04-04 16:58:20,497,"E 17 St & Broadway",40.73704984,-73.99009296,523,"W 38 St & 8 Ave",40.75466591,-73.99138152,18168,"Subscriber","1970",1,"1.693","10003","6","35.1","-9999","76","0","42.1","12.7","10","35.2","-9999","0","0","0","0","0"
"4445","Thursday",127,2014-04-17 16:19:33,2014-04-17 16:21:40,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,147,"Greenwich St & Warren St",40.71542197,-74.01121978,19594,"Subscriber","1978",1,"0.351","10013","8","27","-9999","46","0","46.9","0","10","-999","-9999","0","0","0","0","0"
"4446","Monday",607,2014-04-07 16:36:03,2014-04-07 16:46:10,536,"1 Ave & E 30 St",40.74144387,-73.97536082,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,14728,"Subscriber","1970",1,"1.733","10016","9","35.1","-9999","57","0","50","-9999","10","-999","-9999","0","0","0","0","0"
"4447","Friday",245,2014-04-18 11:56:45,2014-04-18 12:00:50,3002,"South End Ave & Liberty St",40.711512,-74.015756,304,"Broadway & Battery Pl",40.70463334,-74.01361706,14980,"Subscriber","1991",1,"0.685","10280","0","27","-9999","55","0","42.1","-9999","10","-999","-9999","0","0","0","0","0"
"4450","Thursday",306,2014-04-10 12:23:48,2014-04-10 12:28:54,521,"8 Ave & W 31 St",40.75044999,-73.99481051,434,"9 Ave & W 18 St",40.74317449,-74.00366443,15999,"Subscriber","1969",1,"1.007","10001","1","19","-9999","24","0","55","4.6","10","-999","-9999","0","0","0","0","0"
"4451","Tuesday",333,2014-04-22 14:26:33,2014-04-22 14:32:06,478,"11 Ave & W 41 St",40.76030096,-73.99884222,490,"8 Ave & W 33 St",40.751551,-73.993934,21363,"Subscriber","1974",1,"1.212","10036","21","46","-9999","44","0","69.1","9.2","10","-999","-9999","0","0","0","0","0"
"4453","Wednesday",154,2014-04-02 16:00:57,2014-04-02 16:03:31,285,"Broadway & E 14 St",40.73454567,-73.99074142,294,"Washington Square E",40.73049393,-73.9957214,20136,"Subscriber","1981",1,"0.597","10003","-12","39.9","-9999","68","0","50","3.5","10","-999","-9999","0","0","0","0","0"
"4455","Thursday",217,2014-04-10 13:54:06,2014-04-10 13:57:43,483,"E 12 St & 3 Ave",40.73223272,-73.98889957,294,"Washington Square E",40.73049393,-73.9957214,14759,"Subscriber","1995",1,"0.688","10003","-2","21.9","-9999","26","0","57","9.2","10","-999","-9999","0","0","0","0","0"
"4456","Monday",349,2014-04-21 09:22:13,2014-04-21 09:28:02,523,"W 38 St & 8 Ave",40.75466591,-73.99138152,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,20840,"Subscriber","1969",1,"0.87","10018","-32801","30.9","-9999","50","0","48.9","4.6","10","-999","-9999","0","0","0","0","0"
"4457","Friday",428,2014-04-25 14:54:57,2014-04-25 15:02:05,468,"Broadway & W 55 St",40.7652654,-73.98192338,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,21517,"Subscriber","1974",1,"1.201","10019","-32800","19.9","-9999","21","0","60.1","6.9","10","-999","-9999","0","0","0","0","0"
"4458","Friday",275,2014-04-04 16:58:34,2014-04-04 17:03:09,510,"W 51 St & 6 Ave",40.7606597,-73.98042047,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,17515,"Subscriber","1980",1,"0.924","10019","32791","35.1","-9999","76","0","42.1","12.7","10","35.2","-9999","0","0","0","0","0"
"4459","Wednesday",133,2014-04-23 09:08:52,2014-04-23 09:11:05,285,"Broadway & E 14 St",40.73454567,-73.99074142,335,"Washington Pl & Broadway",40.72903917,-73.99404649,15576,"Subscriber","1984",1,"0.438","10003","6","33.1","-9999","52","0","50","9.2","10","-999","-9999","0","0","0","0","0"
"4462","Thursday",121,2014-04-17 09:28:27,2014-04-17 09:30:28,382,"University Pl & E 14 St",40.73492695,-73.99200509,294,"Washington Square E",40.73049393,-73.9957214,14740,"Subscriber","1992",1,"0.688","10003","5","19.9","-9999","48","0","37.9","12.7","10","30","-9999","0","0","0","0","0"
"4463","Monday",357,2014-04-07 15:02:16,2014-04-07 15:08:13,518,"E 39 St & 2 Ave",40.74780373,-73.9734419,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,18029,"Subscriber","1962",1,"1.301","10016","0","33.1","-9999","50","0","51.1","8.1","10","-999","-9999","0","0","0","0","0"
"4465","Thursday",269,2014-04-10 11:10:39,2014-04-10 11:15:08,523,"W 38 St & 8 Ave",40.75466591,-73.99138152,526,"E 33 St & 5 Ave",40.74765947,-73.98490707,19909,"Subscriber","1990",1,"0.712","10018","-32801","17.1","-9999","24","0","53.1","4.6","10","-999","-9999","0","0","0","0","0"
"4466","Tuesday",159,2014-04-29 16:09:45,2014-04-29 16:12:24,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,432,"E 7 St & Avenue A",40.72621788,-73.98379855,16259,"Subscriber","1989",1,"0.719","10003","-38","39","0","74","0","46.9","8.1","10","-999","-9999","0","0","0","0","0"
"4467","Friday",151,2014-04-11 09:41:14,2014-04-11 09:43:45,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,493,"W 45 St & 6 Ave",40.7568001,-73.98291153,15589,"Subscriber","1966",1,"0.389","10017","0","37","-9999","44","0","59","6.9","10","-999","-9999","0","0","0","0","0"
"4468","Monday",573,2014-04-28 16:42:28,2014-04-28 16:52:01,347,"W Houston St & Hudson St",40.72873888,-74.00748842,521,"8 Ave & W 31 St",40.75044999,-73.99481051,16226,"Subscriber","1978",1,"1.674","10014","-30","30","-9999","28","0","64","9.2","10","-999","-9999","0","0","0","0","0"
"4469","Monday",373,2014-04-07 15:58:20,2014-04-07 16:04:33,440,"E 45 St & 3 Ave",40.75255434,-73.97282625,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,18548,"Subscriber","1974",1,"1.159","10017","32791","33.1","-9999","50","0","51.1","8.1","10","-999","-9999","0","0","0","0","0"
"4470","Monday",352,2014-04-07 16:34:12,2014-04-07 16:40:04,538,"W 49 St & 5 Ave",40.75795248,-73.97787642,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,19587,"Subscriber","1978",1,"1.403","10019","0","35.1","-9999","57","0","50","-9999","10","-999","-9999","0","0","0","0","0"
"4471","Thursday",117,2014-04-24 14:39:15,2014-04-24 14:41:12,285,"Broadway & E 14 St",40.73454567,-73.99074142,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,14554,"Subscriber","1984",1,"0.395","10003","15","10.9","-9999","15","0","59","-9999","10","-999","-9999","0","0","0","0","0"
"4472","Tuesday",249,2014-04-22 16:41:01,2014-04-22 16:45:10,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,387,"Centre St & Chambers St",40.71273266,-74.0046073,19761,"Subscriber","1966",1,"1.031","10282","17","45","-9999","42","0","69.1","5.8","10","-999","-9999","0","0","0","0","0"
"4473","Tuesday",227,2014-04-01 15:49:30,2014-04-01 15:53:17,352,"W 56 St & 6 Ave",40.76340613,-73.97722479,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,20530,"Subscriber","1965",1,"1.014","10019","0","28","-9999","34","0","55.9","4.6","10","-999","-9999","0","0","0","0","0"
"4474","Wednesday",315,2014-04-02 09:07:40,2014-04-02 09:12:55,417,"Barclay St & Church St",40.71291224,-74.01020234,377,"6 Ave & Canal St",40.72243797,-74.00566443,15561,"Subscriber","1980",1,"0.735","10007","32775","37","-9999","71","0","46","0","10","-999","-9999","0","0","0","0","0"
"4475","Tuesday",493,2014-04-01 16:52:42,2014-04-01 17:00:55,440,"E 45 St & 3 Ave",40.75255434,-73.97282625,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,21202,"Subscriber","1970",1,"1.534","10017","0","28.9","-9999","33","0","57.9","4.6","10","-999","-9999","0","0","0","0","0"
"4476","Wednesday",556,2014-04-16 16:35:02,2014-04-16 16:44:18,455,"1 Ave & E 44 St",40.75001986,-73.96905301,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,20802,"Subscriber","1967",1,"2.202","10017","0","17.1","-9999","29","0","48","3.5","10","-999","-9999","0","0","0","0","0"
"4477","Tuesday",235,2014-04-29 13:38:02,2014-04-29 13:41:57,499,"Broadway & W 60 St",40.76915505,-73.98191841,281,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,19115,"Subscriber","1982",1,"0.917","10463","-32798","36","-9999","61","0","48.9","9.2","10","-999","-9999","0","0","0","0","0"
"4478","Monday",300,2014-04-28 13:36:26,2014-04-28 13:41:26,500,"Broadway & W 51 St",40.76228826,-73.98336183,529,"W 42 St & 8 Ave",40.7575699,-73.99098507,16375,"Subscriber","1959",1,"0.856","10019","32795","32","-9999","34","0","61","3.5","10","-999","-9999","0","0","0","0","0"
"4479","Tuesday",359,2014-04-08 16:55:53,2014-04-08 17:01:52,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,379,"W 31 St & 7 Ave",40.749156,-73.9916,14834,"Subscriber","1976",1,"1.219","10017","32799","37.9","-9999","41","0","62.1","4.6","10","-999","-9999","0","0","0","0","0"
"4480","Friday",207,2014-04-11 13:49:20,2014-04-11 13:52:47,151,"Cleveland Pl & Spring St",40.7218158,-73.99720307,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,16070,"Subscriber","1974",1,"0.77","10012","32","41","-9999","35","0","70","8.1","10","-999","-9999","0","0","0","0","0"
"4481","Thursday",311,2014-04-24 15:02:49,2014-04-24 15:08:00,167,"E 39 St & 3 Ave",40.7489006,-73.97604882,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,19011,"Subscriber","1967",1,"1.173","10016","0","12.9","-9999","15","0","61","6.9","10","-999","-9999","0","0","0","0","0"
"4482","Friday",179,2014-04-04 13:37:28,2014-04-04 13:40:27,294,"Washington Square E",40.73049393,-73.9957214,285,"Broadway & E 14 St",40.73454567,-73.99074142,21229,"Subscriber","1993",1,"0.461","10003","12","33.1","-9999","68","0","43","11.5","10","36.8","-9999","0","0","0","0","0"
"4484","Friday",213,2014-04-18 16:46:04,2014-04-18 16:49:37,465,"Broadway & W 41 St",40.75513557,-73.98658032,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,15684,"Subscriber","1989",1,"0.613","10036","0","30","-9999","48","0","48.9","5.8","10","-999","-9999","0","0","0","0","0"
"4485","Thursday",238,2014-04-10 10:18:57,2014-04-10 10:22:55,497,"E 17 St & Broadway",40.73704984,-73.99009296,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,21433,"Subscriber","1955",1,"0.671","10003","-19","16","-9999","25","0","51.1","6.9","10","-999","-9999","0","0","0","0","0"
"4486","Thursday",145,2014-04-03 09:01:47,2014-04-03 09:04:12,347,"W Houston St & Hudson St",40.72873888,-74.00748842,358,"Christopher St & Greenwich St",40.73291553,-74.00711384,20515,"Subscriber","1984",1,"0.343","10014","-29","27","-9999","44","0","48","5.8","10","-999","-9999","0","0","0","0","0"
"4487","Thursday",282,2014-04-24 13:30:45,2014-04-24 13:35:27,442,"W 27 St & 7 Ave",40.746647,-73.993915,523,"W 38 St & 8 Ave",40.75466591,-73.99138152,19167,"Subscriber","1983",1,"0.723","10001","9","12","-9999","16","0","57.9","11.5","10","-999","-9999","0","0","0","0","0"
"4488","Thursday",108,2014-04-24 11:47:50,2014-04-24 11:49:38,462,"W 22 St & 10 Ave",40.74691959,-74.00451887,453,"W 22 St & 8 Ave",40.74475148,-73.99915362,19752,"Subscriber","1995",1,"0.32","10011","8","12.9","-9999","22","0","51.1","12.7","10","-999","-9999","0","0","0","0","0"
"4489","Thursday",108,2014-04-24 14:26:49,2014-04-24 14:28:37,462,"W 22 St & 10 Ave",40.74691959,-74.00451887,453,"W 22 St & 8 Ave",40.74475148,-73.99915362,16649,"Subscriber","1959",1,"0.32","10011","8","10.9","-9999","15","0","59","-9999","10","-999","-9999","0","0","0","0","0"
"4492","Monday",411,2014-04-21 13:12:15,2014-04-21 13:19:06,520,"W 52 St & 5 Ave",40.75992262,-73.97648516,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,20231,"Subscriber","1958",1,"1.581","10019","0","24.1","-9999","23","0","62.1","0","10","-999","-9999","0","0","0","0","0"
"4493","Tuesday",223,2014-04-08 09:17:38,2014-04-08 09:21:21,294,"Washington Square E",40.73049393,-73.9957214,497,"E 17 St & Broadway",40.73704984,-73.99009296,15019,"Subscriber","1975",1,"0.849","10003","3","48.9","-9999","89","0","52","3.5","1","-999","-9999","0","0","0","0","0"
"4494","Monday",426,2014-04-14 15:33:38,2014-04-14 15:40:44,402,"Broadway & E 22 St",40.7403432,-73.98955109,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,21171,"Subscriber","1946",1,"1.341","10010","-32792","51.1","-9999","45","0","73.9","9.2","10","-999","-9999","0","0","0","0","0"
"4495","Friday",101,2014-04-04 16:21:05,2014-04-04 16:22:46,468,"Broadway & W 55 St",40.7652654,-73.98192338,173,"Broadway & W 49 St",40.76064679,-73.98442659,20237,"Subscriber","1983",1,"0.346","10019","-32800","35.1","-9999","76","0","42.1","12.7","10","35.2","-9999","0","0","0","0","0"
"4496","Friday",308,2014-04-18 12:28:25,2014-04-18 12:33:33,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,493,"W 45 St & 6 Ave",40.7568001,-73.98291153,14740,"Subscriber","1979",1,"0.884","10001-2062","0","28","-9999","53","0","44.1","9.2","10","39","-9999","0","0","0","0","0"
"4497","Wednesday",203,2014-04-23 12:37:05,2014-04-23 12:40:28,281,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,499,"Broadway & W 60 St",40.76915505,-73.98191841,17743,"Subscriber","1984",1,"0.759","10153","32798","35.1","-9999","53","0","52","8.1","10","-999","-9999","0","0","0","0","0"
"4498","Monday",309,2014-04-28 15:33:53,2014-04-28 15:39:02,417,"Barclay St & Church St",40.71291224,-74.01020234,415,"Pearl St & Hanover Square",40.7047177,-74.00926027,17429,"Subscriber","1984",1,"0.873","10007","0","30.9","-9999","28","0","64.9","4.6","10","-999","-9999","0","0","0","0","0"
