"","day","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","distance","zip","elev","dew","precip","hum","snow","temp","windspeed","visibility","windchill","heatindex","fog","rain","hail","thunder","tornado","speed"
"18787","Wednesday",119,2014-03-05 16:17:00,2014-03-05 16:18:59,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,147,"Greenwich St & Warren St",40.71542197,-74.01121978,16723,"Subscriber","1975",1,"0.351","10013","8","9","-9999","34","0","35.1","4.6","10","31","-9999","0","0","0","0","0",10.618487394958
"18788","Thursday",182,2014-03-27 13:31:42,2014-03-27 13:34:44,525,"W 34 St & 11 Ave",40.75594159,-74.0021163,490,"8 Ave & W 33 St",40.751551,-73.993934,20942,"Subscriber","1989",1,"0.865","10018","21","3.9","-9999","26","0","36","4.6","10","32.1","-9999","0","0","0","0","0",17.1098901098901
"18790","Wednesday",418,2014-03-12 14:22:06,2014-03-12 14:29:04,536,"1 Ave & E 30 St",40.74144387,-73.97536082,379,"W 31 St & 7 Ave",40.749156,-73.9916,21297,"Subscriber","1975",1,"1.234","10016","17","42.1","-9999","69","0","52","6.9","7","-999","-9999","0","0","0","0","0",10.6277511961722
"18792","Tuesday",211,2014-03-25 16:58:42,2014-03-25 17:02:13,153,"E 40 St & 5 Ave",40.752062307,-73.9816324043,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,17941,"Subscriber","1971",1,"0.83","10017","-32828","12","-9999","36","0","37","6.9","10","31.6","-9999","0","0","0","0","0",14.1611374407583
"18794","Tuesday",178,2014-03-11 16:44:22,2014-03-11 16:47:20,294,"Washington Square E",40.73049393,-73.9957214,483,"E 12 St & 3 Ave",40.73223272,-73.98889957,18015,"Subscriber","1993",1,"0.516","10003","2","30.9","-9999","28","0","64.9","3.5","10","-999","-9999","0","0","0","0","0",10.4359550561798
"18796","Friday",403,2014-03-28 13:43:09,2014-03-28 13:49:52,538,"W 49 St & 5 Ave",40.75795248,-73.97787642,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,16948,"Subscriber","1978",1,"1.403","10019","0","45","-9999","72","0","54","4.6","10","-999","-9999","0","0","0","0","0",12.5330024813896
"18798","Monday",206,2014-03-31 09:27:13,2014-03-31 09:30:39,546,"E 30 St & Park Ave S",40.74444921,-73.98303529,379,"W 31 St & 7 Ave",40.749156,-73.9916,20045,"Subscriber","1976",1,"0.869","10016","-11","32","-9999","82","0","37","4.6","10","33.3","-9999","0","0","0","0","0",15.1864077669903
"18800","Tuesday",319,2014-03-25 10:05:02,2014-03-25 10:10:21,521,"8 Ave & W 31 St",40.75044999,-73.99481051,434,"9 Ave & W 18 St",40.74317449,-74.00366443,19493,"Subscriber","1962",1,"1.007","10001","1","10","-9999","38","0","33.1","0","10","-999","-9999","0","0","0","0","0",11.364263322884
"18801","Tuesday",127,2014-03-04 09:00:05,2014-03-04 09:02:12,285,"Broadway & E 14 St",40.73454567,-73.99074142,335,"Washington Pl & Broadway",40.72903917,-73.99404649,14741,"Subscriber","1960",1,"0.438","10003","6","1.9","-9999","52","0","17.1","4.6","10","10","-9999","0","0","0","0","0",12.4157480314961
"18802","Wednesday",249,2014-03-19 10:53:04,2014-03-19 10:57:13,445,"E 10 St & Avenue A",40.72740794,-73.98142006,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,15091,"Subscriber","1987",1,"0.76","10009","44","27","-9999","70","0","36","8.1","10","29.6","-9999","0","0","0","0","0",10.9879518072289
"18803","Wednesday",374,2014-03-12 16:24:05,2014-03-12 16:30:19,212,"W 16 St & The High Line",40.74334935,-74.00681753,521,"8 Ave & W 31 St",40.75044999,-73.99481051,14895,"Subscriber","1985",1,"1.054","10011","5","42.1","-9999","60","0","55.9","3.5","7","-999","-9999","0","0","0","0","0",10.1454545454545
"18804","Friday",171,2014-03-07 16:31:55,2014-03-07 16:34:46,472,"E 32 St & Park Ave",40.7457121,-73.98194829,527,"E 33 St & 1 Ave",40.74315566,-73.97434726,15133,"Subscriber","1983",1,"0.694","10016","16","24.1","-9999","62","0","36","6.9","10","30.3","-9999","0","0","0","0","0",14.6105263157895
"18805","Wednesday",124,2014-03-12 15:44:24,2014-03-12 15:46:28,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,453,"W 22 St & 8 Ave",40.74475148,-73.99915362,20843,"Subscriber","1981",1,"0.793","10011","-6","42.1","-9999","66","0","53.1","8.1","7","-999","-9999","0","0","0","0","0",23.0225806451613
"18806","Wednesday",170,2014-03-05 15:39:56,2014-03-05 15:42:46,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,509,"9 Ave & W 22 St",40.7454973,-74.00197139,18291,"Subscriber","1980",1,"0.661","10011","-12","9","-9999","33","0","36","8.1","10","29.6","-9999","0","0","0","0","0",13.9976470588235
"18808","Tuesday",365,2014-03-04 13:30:38,2014-03-04 13:36:43,508,"W 46 St & 11 Ave",40.76341379,-73.99667444,490,"8 Ave & W 33 St",40.751551,-73.993934,21252,"Subscriber","1982",1,"1.454","10036","18","3.9","-9999","42","0","24.1","0","10","-999","-9999","0","0","0","0","0",14.3408219178082
"18809","Friday",183,2014-03-07 15:36:33,2014-03-07 15:39:36,493,"W 45 St & 6 Ave",40.7568001,-73.98291153,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,16032,"Subscriber","1973",1,"0.599","10019","32791","23","-9999","59","0","36","6.9","10","30.3","-9999","0","0","0","0","0",11.783606557377
"18810","Monday",587,2014-03-10 15:18:34,2014-03-10 15:28:21,536,"1 Ave & E 30 St",40.74144387,-73.97536082,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,20595,"Subscriber","1986",1,"1.733","10016","9","24.1","-9999","39","0","48","6.9","10","-999","-9999","0","0","0","0","0",10.6282793867121
"18811","Wednesday",265,2014-03-05 14:24:21,2014-03-05 14:28:46,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,521,"8 Ave & W 31 St",40.75044999,-73.99481051,21047,"Subscriber","1975",1,"1.096","10011","4","6.1","-9999","28","0","37","6.9","10","31.6","-9999","0","0","0","0","0",14.8890566037736
"18812","Friday",435,2014-03-28 14:23:31,2014-03-28 14:30:46,518,"E 39 St & 2 Ave",40.74780373,-73.9734419,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,17310,"Subscriber","1980",1,"1.152","10016","32791","45","-9999","72","0","54","4.6","9","-999","-9999","0","0","0","0","0",9.53379310344828
"18813","Friday",402,2014-03-14 09:50:31,2014-03-14 09:57:13,468,"Broadway & W 55 St",40.7652654,-73.98192338,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,18027,"Subscriber","1980",1,"1.201","10019","-32800","3","-9999","34","0","28","3.5","10","24.2","-9999","0","0","0","0","0",10.755223880597
"18814","Monday",170,2014-03-10 14:27:56,2014-03-10 14:30:46,485,"W 37 St & 5 Ave",40.75038009,-73.98338988,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,19230,"Subscriber","1968",1,"0.636","10018","-32828","23","-9999","40","0","46","6.9","10","42.5","-9999","0","0","0","0","0",13.4682352941176
"18815","Monday",322,2014-03-31 16:16:22,2014-03-31 16:21:44,528,"2 Ave & E 31 St",40.74290902,-73.97706058,379,"W 31 St & 7 Ave",40.749156,-73.9916,21274,"Subscriber","1983",1,"0.882","10016","18","33.1","-9999","45","0","54","5.8","10","-999","-9999","0","0","0","0","0",9.86086956521739
"18816","Friday",350,2014-03-28 14:21:12,2014-03-28 14:27:02,536,"1 Ave & E 30 St",40.74144387,-73.97536082,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,20570,"Subscriber","1975",1,"1.259","10016","-32782","45","-9999","72","0","54","4.6","9","-999","-9999","0","0","0","0","0",12.9497142857143
"18817","Thursday",136,2014-03-13 14:39:33,2014-03-13 14:41:49,472,"E 32 St & Park Ave",40.7457121,-73.98194829,528,"2 Ave & E 31 St",40.74290902,-73.97706058,20210,"Subscriber","1984",1,"0.366","10016","-4","3.9","-9999","39","0","26.1","12.7","10","15","-9999","0","0","0","0","0",9.68823529411765
"18818","Tuesday",159,2014-03-04 16:45:25,2014-03-04 16:48:04,499,"Broadway & W 60 St",40.76915505,-73.98191841,422,"W 59 St & 10 Ave",40.770513,-73.988038,18272,"Subscriber","1981",1,"0.517","10463","10","0","-9999","30","0","28","0","10","-999","-9999","0","0","0","0","0",11.7056603773585
"18819","Friday",184,2014-03-14 16:11:55,2014-03-14 16:14:59,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,17160,"Subscriber","1971",1,"0.679","10013","-1","10","-9999","25","0","44.1","9.2","10","39","-9999","0","0","0","0","0",13.2847826086957
"18820","Wednesday",372,2014-03-26 15:00:44,2014-03-26 15:06:56,518,"E 39 St & 2 Ave",40.74780373,-73.9734419,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,20994,"Subscriber","1967",1,"1.301","10016","0","3","-9999","27","0","34","20.7","10","22.4","-9999","0","0","0","0","0",12.5903225806452
"18821","Thursday",164,2014-03-27 15:39:43,2014-03-27 15:42:27,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,497,"E 17 St & Broadway",40.73704984,-73.99009296,21045,"Subscriber","1982",1,"0.763","10003","-24","5","-9999","23","0","41","4.6","10","38","-9999","0","0","0","0","0",16.7487804878049
"18822","Wednesday",309,2014-03-05 09:10:38,2014-03-05 09:15:47,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,20904,"Subscriber","1985",1,"0.757","10036","-32791","8.1","-9999","38","0","30.9","4.6","10","26.2","-9999","0","0","0","0","0",8.81941747572816
"18823","Wednesday",353,2014-03-12 16:04:54,2014-03-12 16:10:47,510,"W 51 St & 6 Ave",40.7606597,-73.98042047,529,"W 42 St & 8 Ave",40.7575699,-73.99098507,16400,"Subscriber","1979",1,"1.029","10019","32795","42.1","-9999","60","0","55.9","3.5","7","-999","-9999","0","0","0","0","0",10.4940509915014
"18824","Thursday",265,2014-03-27 09:39:40,2014-03-27 09:44:05,430,"York St & Jay St",40.7014851,-73.98656928,2001,"7 Ave & Farragut St",40.69892054,-73.97332996,15995,"Subscriber","1989",1,"1.06","11201","-15","6.1","-9999","45","0","25","8.1","10","16.3","-9999","0","0","0","0","0",14.4
"18826","Tuesday",213,2014-03-25 14:10:14,2014-03-25 14:13:47,526,"E 33 St & 5 Ave",40.74765947,-73.98490707,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,16073,"Subscriber","1968",1,"0.697","10016","0","10","-9999","32","0","37.9","3.5","10","35.5","-9999","0","0","0","0","0",11.7802816901408
"18827","Tuesday",142,2014-03-18 16:44:00,2014-03-18 16:46:22,527,"E 33 St & 1 Ave",40.74315566,-73.97434726,472,"E 32 St & Park Ave",40.7457121,-73.98194829,18673,"Subscriber","1989",1,"0.63","10016","-16","7","-9999","24","0","42.1","6.9","10","37.7","-9999","0","0","0","0","0",15.9718309859155
"18828","Friday",286,2014-03-28 09:11:18,2014-03-28 09:16:04,417,"Barclay St & Church St",40.71291224,-74.01020234,377,"6 Ave & Canal St",40.72243797,-74.00566443,20346,"Subscriber","1983",1,"0.735","10007","32775","36","-9999","59","0","50","-9999","10","-999","-9999","0","0","0","0","0",9.25174825174825
"18829","Tuesday",292,2014-03-11 09:15:04,2014-03-11 09:19:56,430,"York St & Jay St",40.7014851,-73.98656928,242,"Flushing Ave & Carlton Ave",40.69788349,-73.97350332,19354,"Subscriber","1987",1,"1.291","11201","-9","32","-9999","50","0","50","4.6","10","-999","-9999","0","0","0","0","0",15.9164383561644
"18830","Tuesday",238,2014-03-04 09:49:55,2014-03-04 09:53:53,432,"E 7 St & Avenue A",40.72621788,-73.98379855,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,19421,"Subscriber","1988",1,"0.551","10009","38","1.9","-9999","52","0","17.1","4.6","10","10","-9999","0","0","0","0","0",8.33445378151261
"18831","Monday",238,2014-03-17 11:04:19,2014-03-17 11:08:17,432,"E 7 St & Avenue A",40.72621788,-73.98379855,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,19230,"Subscriber","1980",1,"0.551","10009","38","1.9","-9999","35","0","26.1","12.7","10","15","-9999","0","0","0","0","0",8.33445378151261
"18832","Friday",238,2014-03-21 14:13:36,2014-03-21 14:17:34,432,"E 7 St & Avenue A",40.72621788,-73.98379855,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,20964,"Subscriber","1989",1,"0.551","10009","38","18","-9999","29","0","48.9","9.2","10","-999","-9999","0","0","0","0","0",8.33445378151261
"18834","Wednesday",99,2014-03-26 15:41:44,2014-03-26 15:43:23,462,"W 22 St & 10 Ave",40.74691959,-74.00451887,453,"W 22 St & 8 Ave",40.74475148,-73.99915362,15063,"Subscriber","1966",1,"0.32","10011","8","3","-9999","27","0","34","20.7","10","22.4","-9999","0","0","0","0","0",11.6363636363636
"18835","Friday",281,2014-03-07 16:03:22,2014-03-07 16:08:03,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,15675,"Subscriber","1969",1,"0.729","10017","32791","24.1","-9999","62","0","36","6.9","10","30.3","-9999","0","0","0","0","0",9.33950177935943
"18836","Friday",379,2014-03-07 09:00:10,2014-03-07 09:06:29,527,"E 33 St & 1 Ave",40.74315566,-73.97434726,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,17853,"Subscriber","1988",1,"0.965","10016","-32801","21","-9999","69","0","30","12.7","10","20","-9999","0","0","0","0","0",9.16622691292876
"18837","Friday",362,2014-03-21 16:02:20,2014-03-21 16:08:22,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,21623,"Subscriber","1981",1,"1.144","10017","0","17.1","-9999","26","0","51.1","4.6","10","-999","-9999","0","0","0","0","0",11.3767955801105
"18838","Thursday",304,2014-03-27 14:23:59,2014-03-27 14:29:03,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,387,"Centre St & Chambers St",40.71273266,-74.0046073,16108,"Subscriber","1981",1,"1.031","10282","17","6.1","-9999","27","0","37.9","3.5","10","35.5","-9999","0","0","0","0","0",12.2092105263158
"18839","Monday",373,2014-03-10 16:32:45,2014-03-10 16:38:58,352,"W 56 St & 6 Ave",40.76340613,-73.97722479,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,16368,"Subscriber","1973",1,"1.877","10019","32791","26.1","-9999","39","0","50","5.8","10","-999","-9999","0","0","0","0","0",18.11581769437
"18840","Monday",137,2014-03-17 12:43:59,2014-03-17 12:46:16,468,"Broadway & W 55 St",40.7652654,-73.98192338,173,"Broadway & W 49 St",40.76064679,-73.98442659,18218,"Subscriber","1965",1,"0.346","10019","-32800","6.1","-9999","39","0","28","10.4","10","18.6","-9999","0","0","0","0","0",9.09197080291971
"18841","Wednesday",235,2014-03-26 14:49:23,2014-03-26 14:53:18,472,"E 32 St & Park Ave",40.7457121,-73.98194829,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,21245,"Subscriber","1967",1,"0.869","10016","-32785","3.9","-9999","28","0","34","16.1","10","23.8","-9999","0","0","0","0","0",13.3123404255319
"18842","Wednesday",343,2014-03-26 16:59:44,2014-03-26 17:05:27,523,"W 38 St & 8 Ave",40.75466591,-73.99138152,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,15026,"Subscriber","1973",1,"0.87","10018","-32801","3","-9999","27","0","34","12.7","10","25","-9999","0","0","0","0","0",9.13119533527697
"18843","Tuesday",257,2014-03-18 16:46:33,2014-03-18 16:50:50,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,388,"W 26 St & 10 Ave",40.749717753,-74.002950346,16565,"Subscriber","1964",1,"1.243","10011","9","7","-9999","24","0","42.1","6.9","10","37.7","-9999","0","0","0","0","0",17.411673151751
"18844","Tuesday",289,2014-03-04 15:52:16,2014-03-04 15:57:05,173,"Broadway & W 49 St",40.76064679,-73.98442659,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,16707,"Subscriber","1977",1,"0.855","10019","0","-2","-9999","29","0","27","5.8","10","20.5","-9999","0","0","0","0","0",10.6505190311419
"18845","Wednesday",391,2014-03-19 15:39:21,2014-03-19 15:45:52,359,"E 47 St & Park Ave",40.75510267,-73.97498696,501,"FDR Drive & E 35 St",40.744219,-73.97121214,21370,"Subscriber","1959",1,"1.224","10035","0","30.9","-9999","65","0","42.1","6.9","10","37.7","-9999","0","0","0","0","0",11.2695652173913
"18846","Friday",321,2014-03-07 16:30:39,2014-03-07 16:36:00,484,"W 44 St & 5 Ave",40.75500254,-73.98014437,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,21292,"Subscriber","1976",1,"1.113","10036","0","24.1","-9999","62","0","36","6.9","10","30.3","-9999","0","0","0","0","0",12.4822429906542
"18847","Friday",182,2014-03-21 16:24:49,2014-03-21 16:27:51,490,"8 Ave & W 33 St",40.751551,-73.993934,448,"W 37 St & 10 Ave",40.75660359,-73.9979009,14734,"Subscriber","1989",1,"0.552","10001","-13","17.1","-9999","26","0","51.1","4.6","10","-999","-9999","0","0","0","0","0",10.9186813186813
"18848","Monday",320,2014-03-17 16:51:59,2014-03-17 16:57:19,497,"E 17 St & Broadway",40.73704984,-73.99009296,379,"W 31 St & 7 Ave",40.749156,-73.9916,15980,"Subscriber","1975",1,"1.142","10003","4","3","-9999","28","0","33.1","9.2","10","25.5","-9999","0","0","0","0","0",12.8475
"18849","Tuesday",202,2014-03-25 12:38:10,2014-03-25 12:41:32,442,"W 27 St & 7 Ave",40.746647,-73.993915,489,"10 Ave & W 28 St",40.75066386,-74.00176802,17183,"Subscriber","1972",1,"1.003","10001","-18","6.1","-9999","27","0","37.9","3.5","10","35.5","-9999","0","0","0","0","0",17.8752475247525
"18850","Tuesday",174,2014-03-11 15:32:46,2014-03-11 15:35:40,444,"Broadway & W 24 St",40.7423543,-73.98915076,497,"E 17 St & Broadway",40.73704984,-73.99009296,19364,"Subscriber","1976",1,"0.376","10010","-9","32","-9999","29","0","64.9","5.8","10","-999","-9999","0","0","0","0","0",7.77931034482759
"18851","Thursday",298,2014-03-20 16:52:27,2014-03-20 16:57:25,510,"W 51 St & 6 Ave",40.7606597,-73.98042047,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,15233,"Subscriber","1980",1,"0.924","10019","32791","26.1","-9999","38","0","51.1","16.1","10","-999","-9999","0","0","0","0","0",11.1624161073825
"18852","Wednesday",190,2014-03-19 16:32:54,2014-03-19 16:36:04,521,"8 Ave & W 31 St",40.75044999,-73.99481051,488,"W 39 St & 9 Ave",40.75645824,-73.99372222,20640,"Subscriber","1972",1,"0.542","10001","-6","32","-9999","63","0","44.1","4.6","9","41.5","-9999","0","0","0","0","0",10.2694736842105
"18853","Wednesday",245,2014-03-26 09:31:53,2014-03-26 09:35:58,173,"Broadway & W 49 St",40.76064679,-73.98442659,228,"E 48 St & 3 Ave",40.7546011026,-73.971878855,19454,"Subscriber","1983",1,"0.819","10019","0","10.9","-9999","43","0","30.9","9.2","10","22.8","-9999","0","0","0","0","0",12.0342857142857
"18854","Thursday",299,2014-03-20 11:50:57,2014-03-20 11:55:56,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,540,"Lexington Ave & E 26 St",40.74147286,-73.98320928,20026,"Subscriber","1989",1,"0.924","10017","32789","36","-9999","61","0","48.9","6.9","10","-999","-9999","0","0","0","0","0",11.1250836120401
"18857","Friday",272,2014-03-21 16:14:37,2014-03-21 16:19:09,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,546,"E 30 St & Park Ave S",40.74444921,-73.98303529,19885,"Subscriber","1979",1,"0.641","10017","32810","17.1","-9999","26","0","51.1","4.6","10","-999","-9999","0","0","0","0","0",8.48382352941177
"18858","Tuesday",183,2014-03-11 10:13:11,2014-03-11 10:16:14,285,"Broadway & E 14 St",40.73454567,-73.99074142,294,"Washington Square E",40.73049393,-73.9957214,18134,"Subscriber","1993",1,"0.597","10003","-12","33.1","-9999","47","0","53.1","9.2","10","-999","-9999","0","0","0","0","0",11.744262295082
"18859","Monday",398,2014-03-10 09:19:55,2014-03-10 09:26:33,313,"Washington Ave & Park Ave",40.69610226,-73.96751037,430,"York St & Jay St",40.7014851,-73.98656928,16731,"Subscriber","1986",1,"1.322","11205","3","27","0","67","0","37","6.9","8","31.6","-9999","0","0","0","0","0",11.9577889447236
"18862","Thursday",350,2014-03-20 16:09:21,2014-03-20 16:15:11,379,"W 31 St & 7 Ave",40.749156,-73.9916,537,"Lexington Ave & E 24 St",40.74025878,-73.98409214,17347,"Subscriber","1978",1,"1.004","10001","2","26.1","-9999","38","0","51.1","16.1","10","-999","-9999","0","0","0","0","0",10.3268571428571
"18863","Friday",227,2014-03-21 11:33:14,2014-03-21 11:37:01,465,"Broadway & W 41 St",40.75513557,-73.98658032,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,14714,"Subscriber","1957",1,"0.613","10036","0","19","-9999","38","0","43","6.9","10","38.8","-9999","0","0","0","0","0",9.7215859030837
"18864","Tuesday",328,2014-03-04 16:07:07,2014-03-04 16:12:35,517,"E 41 St & Madison Ave",40.752141,-73.979782,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,21248,"Subscriber","1986",1,"1.154","10017","-32842","0","-9999","30","0","28","0","10","-999","-9999","0","0","0","0","0",12.6658536585366
"18865","Thursday",194,2014-03-06 16:43:20,2014-03-06 16:46:34,529,"W 42 St & 8 Ave",40.7575699,-73.99098507,478,"11 Ave & W 41 St",40.76030096,-73.99884222,17265,"Subscriber","1970",1,"0.49","10036","-18","3.9","-9999","35","0","28.9","5.8","10","22.8","-9999","0","0","0","0","0",9.09278350515464
"18866","Wednesday",137,2014-03-12 15:58:58,2014-03-12 16:01:15,347,"W Houston St & Hudson St",40.72873888,-74.00748842,358,"Christopher St & Greenwich St",40.73291553,-74.00711384,20247,"Subscriber","1962",1,"0.343","10014","-29","42.1","-9999","66","0","53.1","8.1","7","-999","-9999","0","0","0","0","0",9.01313868613139
"18867","Friday",335,2014-03-21 12:35:16,2014-03-21 12:40:51,417,"Barclay St & Church St",40.71291224,-74.01020234,415,"Pearl St & Hanover Square",40.7047177,-74.00926027,19759,"Subscriber","1979",1,"0.873","10007","0","18","-9999","33","0","46","11.5","10","40.6","-9999","0","0","0","0","0",9.38149253731343
"18868","Wednesday",335,2014-03-26 12:49:03,2014-03-26 12:54:38,417,"Barclay St & Church St",40.71291224,-74.01020234,415,"Pearl St & Hanover Square",40.7047177,-74.00926027,20059,"Subscriber","1979",1,"0.873","10007","0","3","-9999","27","0","34","9.2","10","26.6","-9999","0","0","0","0","0",9.38149253731343
"18869","Tuesday",642,2014-03-25 16:28:23,2014-03-25 16:39:05,422,"W 59 St & 10 Ave",40.770513,-73.988038,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,20510,"Subscriber","1964",1,"2.196","10019","-32808","12","-9999","36","0","37","6.9","10","31.6","-9999","0","0","0","0","0",12.3140186915888
"18870","Friday",388,2014-03-14 16:40:21,2014-03-14 16:46:49,440,"E 45 St & 3 Ave",40.75255434,-73.97282625,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,16735,"Subscriber","1974",1,"1.159","10017","32791","10","-9999","25","0","44.1","9.2","10","39","-9999","0","0","0","0","0",10.7536082474227
"18872","Monday",398,2014-03-17 16:41:32,2014-03-17 16:48:10,459,"W 20 St & 11 Ave",40.746745,-74.007756,521,"8 Ave & W 31 St",40.75044999,-73.99481051,16237,"Subscriber","1955",1,"1.348","10011","5","3","-9999","28","0","33.1","9.2","10","25.5","-9999","0","0","0","0","0",12.1929648241206
"18874","Thursday",398,2014-03-20 16:47:20,2014-03-20 16:53:58,459,"W 20 St & 11 Ave",40.746745,-74.007756,521,"8 Ave & W 31 St",40.75044999,-73.99481051,19575,"Subscriber","1955",1,"1.348","10011","5","26.1","-9999","38","0","51.1","16.1","10","-999","-9999","0","0","0","0","0",12.1929648241206
